a,though,,
abmey,soundings,,
ach,but,,
ach,even,,
ang,show,reveal,
angta',revealed,,
ar,much,,
av,guard,,
ba',sit,,
ba',sit,,
ba'ta',sat,,
bach,shoot shot ,,
bagh,bound,,
baghmoHwI',bands,,
baH,gun,,
baHwI',gunner,,
bal,bottle,,
balmey,bottles,,
bang,love,one who is loved,beloved
baQ,fruit,,
baS chIS,silver,,
baS lI'be',tin,,
batlh,glory,,
be',woman,,
be',female,woman,
be' voqHa'moH,adulteress ,,
be'Hom,girl,,
be'nal,wife,,
be'nal,wife's,,
be'nal,wife,,
be'nalpu',wives,,
be'nI',sister,,
be'pu',women,,
be'pu' voqHa'moH,adulteresses ,,
bej,watch,,
bel,pleasant,,
bel,be pleased,,
bel,pleasure,,
belmoH,comfort,,
bem,sole,,
ben,ago ,,
beytaH,bemoaning,,
bID,half,,
bIH,,,
bIng,beneath,,
bIng,bottom,,
bIng,bottoms,,
bIng,down,,
bIng,under,,
bIng,area below,area under,
bIQ,water,,
bIQ,water,,
bIQ'a',sea,,
bIQmey,waters,,
bIQtIQ,river,,
bIr,be cold,,
bIt,be nervous,be uneasy,
bo'DIj,court,,
bo'DIjmey,courts,,
bogh,born,,
boghmoH,bore,,
bom,psalm,,
bom,sing,,
bom,song,,
bommey,songs,,
bomta',sang,,
bomtaH,singing,,
bomtaH,sings,,
bortaS,avenge,,
bortaS,revenge,,
boSta',gathered,,
bot,prevent,block,prohibit
bu',sergeant,,
buD,be lazy,,
buS,concentrate on,focus on,think only about
cha',show,,
cha',two,,
cha' wa'maH,twelve,,
cha'DIch,second,,
cha'maH,twenty,,
cha'nob,offering,,
cha'nobmey,oblations,,
chagh,drop,,
chaH,them,,
chaH,they,,
chaH,those,,
chaH,,,
chaj,their,,
chal,heaven,,
chal,heavens,,
chal,skies,,
chal,sky,,
chang'eng,pair,,
chargh,conquer,,
chargh,conquer,,
chav,achieve,,
chav,achievement,,
chaw',let,,
chaw',allow,permit,
chay',how,,
che',reign,,
che'ta',reigned,,
chech,be drunk,be intoxicated,
chegh,return,,
chegh,,,
cheghta',returned,,
chel,add ,,
chel,add,,
chelta',added ,,
cheltaH,adds ,,
chemvaH,oxen,,
chen,build,,
chen,makes,,
chenmoH,make,,
chenmoHta',made,,
chenqa',restores,,
chenta',built,,
chep,prosper,,
chep,prosper,be prosperous,
chepta',prospered,,
cheptaH,prospers,,
cher,set,,
cher,establish,set up,
chIch,sake,,
chID,admit,,
chIj,navigate,,
chIlqu',perish,,
chIS,white,,
chIS,be white,,
choH,alter,change,
choHtaH,converts,,
chol,close in,get closer,come nearer
choltaH,comes,,
choltaH,coming,,
chop,bite,,
chop,bite,,
chopta',bit,,
choptaH,bites,,
chor,belly,,
chot,murder,,
chotwI',murderer,,
chotwI'pu',murderers,,
chu',new,,
chu',be new,,
chuchHommey,snow,,
chuchHommey pumta',snowed,,
chugh,if,,
chuH,cast,,
chup,recommend,suggest,
chut,law,,
chutmey,ordinances,,
chutmey,statutes,,
chuv,remnant,,
Da,deal,,
Da,manner,,
Dab,encamp,,
Dabta',encamped,,
DabtaH,encamping,,
DabtaH,encamps,,
Dach,be absent,,
DaH,now,,
DaHjaj,today,,
DaHjaj,today,,
Daj,her,,
Daj,his,,
Daj,be interesting,,
Dal,be boring,,
Dap,nonsense,,
Daq,against ,,
Daq,at,,
Daq,in,,
Daq,into,,
Daq,on,,
Daq,place,,
Daq,presence,,
Daq,to,,
Daq QaD,sanctuary,,
Daqmey,places,,
DaS,boot,,
Daw',revolt,,
De',data,information,
De'wI',computer,,
Degh,helm,,
DeghwI',helmsman,,
Del,describe,,
DeS,,,
Dev,guides,,
Dev,lead,,
Dev,leads,,
Dev,lead,guide,
DevwI',shepherd,,
DevwI' naQ,rod,,
DevwIpu',rulers,,
DIch,assuredly,,
DIch,certain,,
DIch,surely,,
DIchDaq,shall,,
DIchDaq,will,,
DIl,pay for,,
DIp,noun,,
DIr,skin,,
DIr,skin,,
DIrDu',skins,,
DIS,year,,
DIS,,,
DISmey,generations,,
DISmey,years,,
Do',be fortunate,be lucky,
Doch,thing,,
Doch,thing,,
Dochmey,things,,
Dochmey lI'be',dross,,
Dochvammey,these,,
DoH,away,,
DoH,back,,
